firstName,surname,id,team,season,jumperNumber,position,providerId,dateOfBirth,draftYear,heightInCm,weightInKg,recruitedFrom,debutYear,draftType,draftPosition,data_accessed
Tom,Doedee,813,Adelaide Crows,2022,39,KEY_DEFENDER,CD_I1000932,1997-03-01,2015,187,90,"St Joseph&apos;s, Geel (Vic)/St Joseph&apos;s College, Geel (Vic)/Geel U18",2018,nationalDraft,17,2022-10-24
Lachlan,Murphy,1723,Adelaide Crows,2022,4,MEDIUM_FORWARD,CD_I1000998,1998-12-04,2017,175,81,Diamond Ck (Vic)/Ivanhoe Gram (Vic)/Nthrn U18/Adel (SANFL),2018,rookieElevation,38,2022-10-24
Mitchell,Hinge,1292,Adelaide Crows,2022,20,MEDIUM_DEFENDER,CD_I1004863,1998-06-26,2020,189,91,Mundulla (SA)/Glenelg (SANFL)/Brisbane,2019,other,NA,2022-10-24
Jordon,Butts,1824,Adelaide Crows,2022,41,KEY_DEFENDER,CD_I1004995,1999-12-31,2018,198,97,Shepparton Bears (Vic)/Murray U18,2020,rookieElevation,39,2022-10-24
Elliott,Himmelberg,1357,Adelaide Crows,2022,34,KEY_FORWARD,CD_I1005199,1998-06-04,2016,200,99,Mt Gravatt (Qld)/Redland (NEAFL),2018,nationalDraft,51,2022-10-24
Lachlan,Sholl,1761,Adelaide Crows,2022,38,MIDFIELDER,CD_I1006136,2000-03-07,2018,186,82,St Bernard&apos;s (Vic)/St Bernard&apos;s College (Vic)/Calder U18,2020,nationalDraft,64,2022-10-24
Chayce,Jones,1782,Adelaide Crows,2022,1,MEDIUM_DEFENDER,CD_I1006203,2000-01-14,2018,180,82,Launceston (Tas),2019,nationalDraft,9,2022-10-24
Will,Hamill,1781,Adelaide Crows,2022,17,MEDIUM_DEFENDER,CD_I1008159,2000-11-17,2018,185,81,Dromana (Vic)/Padua College (Vic)/Dandenong U18,2020,nationalDraft,30,2022-10-24
Ned,McHenry,1767,Adelaide Crows,2022,25,MEDIUM_FORWARD,CD_I1008185,2000-07-13,2018,178,74,Barwon Heads (Vic)/Geel College (Vic)/Geel Gram (Vic)/Geel U18,2020,nationalDraft,16,2022-10-24
Nick,Murray,2474,Adelaide Crows,2022,28,KEY_DEFENDER,CD_I1008230,2000-12-18,2020,194,98,Henty (NSW)/Murray U18/Ganmain-Grong Grong Matong (NSW)/Wang Rovers (Vic),2021,preseason,NA,2022-10-24
